stage,model,input_tokens,cached_tokens,output_tokens,batchable,retries,cost_list_usd,cost_effective_usd
account_review,claude-haiku-4-5,282,208,103,True,0,0.001005,0.000528
account_review,claude-haiku-4-5,244,208,110,True,0,0.001002,0.000407
account_review,claude-haiku-4-5,292,208,108,True,0,0.001040,0.000426
account_review,claude-haiku-4-5,306,208,118,True,0,0.001104,0.000458
account_review,claude-haiku-4-5,279,208,89,True,0,0.000932,0.000372
account_review,claude-haiku-4-5,260,208,82,True,0,0.000878,0.000345
account_review,claude-haiku-4-5,291,208,110,True,0,0.001049,0.000431
account_review,claude-haiku-4-5,288,208,110,True,0,0.001046,0.000429
prioritization,claude-sonnet-4-6,1548,193,643,False,0,0.014868,0.015013
issue_triage,claude-haiku-4-5,315,252,63,False,0,0.000882,0.000945
escalation_packets,claude-sonnet-4-6,399,106,143,False,0,0.003660,0.003740
issue_triage,claude-haiku-4-5,299,252,63,False,0,0.000866,0.000639
escalation_packets,claude-sonnet-4-6,383,106,143,False,0,0.003612,0.003326
issue_triage,claude-haiku-4-5,300,252,66,False,0,0.000882,0.000655
escalation_packets,claude-sonnet-4-6,394,106,141,False,0,0.003615,0.003329
issue_triage,claude-haiku-4-5,305,252,66,False,0,0.000887,0.000660
issue_triage,claude-haiku-4-5,294,252,16,False,0,0.000626,0.000399
issue_triage,claude-haiku-4-5,294,252,132,False,1,0.001206,0.000979
issue_triage,claude-haiku-4-5,301,252,63,False,0,0.000868,0.000641
escalation_packets,claude-sonnet-4-6,384,106,141,False,0,0.003585,0.003299
issue_triage,claude-haiku-4-5,301,252,63,False,0,0.000868,0.000641
escalation_packets,claude-sonnet-4-6,385,106,141,False,0,0.003588,0.003302
issue_triage,claude-haiku-4-5,256,252,66,False,0,0.000838,0.000611
issue_triage,claude-haiku-4-5,296,252,66,False,0,0.000878,0.000651
issue_triage,claude-haiku-4-5,302,252,67,False,0,0.000889,0.000662
issue_triage,claude-haiku-4-5,289,252,132,False,0,0.001201,0.000974
issue_triage,claude-haiku-4-5,293,252,133,False,0,0.001210,0.000983
checkin_prep,claude-sonnet-4-6,291,199,199,False,0,0.004455,0.004604
checkin_prep,claude-sonnet-4-6,281,199,192,False,0,0.004320,0.003783
checkin_prep,claude-sonnet-4-6,276,199,194,False,0,0.004335,0.003798
checkin_prep,claude-sonnet-4-6,277,199,190,False,0,0.004278,0.003741
checkin_prep,claude-sonnet-4-6,275,199,191,False,0,0.004287,0.003750
checkin_prep,claude-sonnet-4-6,283,199,195,False,0,0.004371,0.003834
checkin_prep,claude-sonnet-4-6,276,199,199,False,0,0.004410,0.003873
checkin_prep,claude-sonnet-4-6,276,199,192,False,0,0.004305,0.003768
checkin_prep,claude-sonnet-4-6,269,199,187,False,0,0.004209,0.003672
checkin_prep,claude-sonnet-4-6,255,199,170,False,0,0.003912,0.003375
checkin_prep,claude-sonnet-4-6,278,199,196,False,0,0.004371,0.003834
checkin_prep,claude-sonnet-4-6,272,199,187,False,0,0.004218,0.003681
quality_review,claude-sonnet-4-6,284,208,150,False,0,0.003726,0.003882
quality_review,claude-sonnet-4-6,276,208,124,False,0,0.003312,0.002750
quality_review,claude-sonnet-4-6,270,208,120,False,0,0.003234,0.002672
quality_review,claude-sonnet-4-6,270,208,126,False,0,0.003324,0.002762
quality_review,claude-sonnet-4-6,266,208,76,False,0,0.002562,0.002000
quality_review,claude-sonnet-4-6,280,208,123,False,0,0.003309,0.002747
quality_review,claude-sonnet-4-6,260,208,97,False,0,0.002859,0.002297
quality_review,claude-sonnet-4-6,275,208,100,False,0,0.002949,0.002387
interventions,claude-opus-4-8,893,238,342,False,0,0.014205,0.014502
